seconds,sensor_0,sensor_1,actuator_0,target
36.5600,26.4300,26.2010,30.0000,"25.0"
36.5800,26.4300,26.2010,30.0000,"25.0"
36.6200,26.4040,26.1750,30.0000,"25.0"
36.6400,26.4300,26.2010,30.0000,"25.0"
36.6800,26.4550,26.2010,30.0000,"25.0"
36.7000,26.4550,26.2010,30.0000,"25.0"
36.7400,26.4040,26.2010,30.0000,"25.0"
36.7600,26.4300,26.1750,30.0000,"25.0"
36.8000,26.4040,26.1750,30.0000,"25.0"
36.8200,26.4300,26.2010,30.0000,"25.0"
36.8601,26.4810,26.2010,30.0000,"25.0"
36.8800,26.4550,26.2010,30.0000,"25.0"
36.9207,26.4550,26.1750,30.0000,"25.0"
36.9400,26.4810,26.2010,30.0000,"25.0"
36.9800,26.4550,26.2010,30.0000,"25.0"
37.0000,26.4810,26.1750,30.0000,"25.0"
37.0400,26.4300,26.1750,30.0000,"25.0"
37.0600,26.4550,26.2010,30.0000,"25.0"
37.1000,26.4550,26.2010,30.0000,"25.0"
37.1200,26.4300,26.2010,30.0000,"25.0"
37.1600,26.4550,26.2010,30.0000,"25.0"
37.1800,26.4550,26.1750,30.0000,"25.0"
37.2200,26.4300,26.2010,30.0000,"25.0"
37.2400,26.4300,26.2010,30.0000,"25.0"
37.2800,26.4550,26.2010,30.0000,"25.0"
37.3000,26.4550,26.2010,30.0000,"25.0"
37.3400,26.4300,26.2010,30.0000,"25.0"
37.3600,26.4550,26.2010,30.0000,"25.0"
37.4000,26.4550,26.2010,30.0000,"25.0"
37.4200,26.4300,26.2010,30.0000,"25.0"
37.4600,26.4300,26.2010,30.0000,"25.0"
37.4800,26.4550,26.2010,30.0000,"25.0"
37.5200,26.4550,26.2010,30.0000,"25.0"
37.5400,26.4550,26.2010,30.0000,"25.0"
37.5800,26.4550,26.2010,30.0000,"25.0"
37.6000,26.4550,26.2010,30.0000,"25.0"
37.6400,26.4550,26.2010,30.0000,"25.0"
37.6600,26.4550,26.2010,30.0000,"25.0"
37.7000,26.4550,26.2010,30.0000,"25.0"
37.7200,26.4550,26.2010,30.0000,"25.0"
37.7600,26.4550,26.2010,30.0000,"25.0"
37.7800,26.4550,26.2010,30.0000,"25.0"
37.8200,26.4550,26.2010,30.0000,"25.0"
37.8400,26.4550,26.2260,30.0000,"25.0"
37.8800,26.4550,26.2010,30.0000,"25.0"
37.9000,26.4300,26.2010,30.0000,"25.0"
37.9400,26.4550,26.2010,30.0000,"25.0"
37.9601,26.4550,26.2260,30.0000,"25.0"
38.0000,26.4550,26.2260,30.0000,"25.0"
38.0200,26.4550,26.1750,30.0000,"25.0"
38.0600,26.4300,26.1750,30.0000,"25.0"
